src,tgt,src_len,tgt_len,Meaning completely changed,remarks
"i was surprised when the real ra's al ghul showed himself, too. the league of shadows doesn't die easily.","muje tho surprised huva jab ra's ka real face usne dekhayi tho, voh league ka shadows bhi itna aasan nahi tha",19,21,,
ahhh i see well that clears that up.,ahhh mujhe lagta hai ye sab clear kar deta hai,8,10,,
"i hope that you check it out.  it is based on a 1974 novel by peter benchley.  i'm not sure what it is rated, but probably r.","aap check kar lo. 1974 ke novel se tha peter benchley likhe huve the., muje rate ke baare mein patha nahi, probably r diye hongae",27,25,1,
"i would agree. i particularly like robert downey jr. in this role, it's as though he spent his entire adult life preparing for the role of tony stark.",mein bhi maantha. particularly robert downey jr ka is role tho uska entire adult life isse me spent kiya us role of tony stark ke liye,28,26,,
oh really? i havent seen that movie yet,oh really? wo movie nahi dekhi abhi tak,8,8,,
"i can't honestly say, however, as a critic noted ""it's better than man of steel but not as good as the dark knight"". ",mai sach nhi keh skta halaki ye man of steel se better hai lekin dark knight jitni achi nhi hai,23,20,1,cant say honestly -> mai sach nahi keh skta
i haven't seen la la land either. which one would you recommend?,mainne la la bhoomi bhee nahin dekhee hai. tum kisakee siphaarish karana chaahoge?,12,13,1,
"i do too, if it is done well.","main bhi karta hun, if ise acche se kiya jaye.",8,10,,
lol!,lol!,1,1,,
it was! to be honest with you they did such a good job that i had a hard time realizing they were both armie hammer. he is an amazing actor. i also think facesmash is a hilarious startup name.,wo tha! to be honest unhone itna accha kaam kiya ke mujhe realize nahi hua dono armie hammer the. wo ek amazing actor hai. main ye bhi sochta hu k facesmash ek hilarious startup name hai,39,36,,
"it said there would be three pages, yet we seem to be done.","isane kaha ki teen pej honge, phir bhee ham aisa karate prateet hote hain.",13,14,1,
eisenberg is the lead actor?,kya eisenberg pramukh actor hai?,5,5,,
hello,hello,1,1,,
"yeah, flows a bit better i suppose so you can say ""facebook me"" lol","yes, ye thoda behatar lagta hai i suppose so tum kah sako ""facebook me"" lol",14,15,,
i guess you could say that.,mein bhi guess kartha,6,4,1,
haha. as much as ive heard the movie songs i still enjoy it from time to time,"haha, jitna bhi movie song sunta hu kabhi kabhi accha hi lagta hai",17,13,,
"it has meryl strep and tom hanks in it, it's about the first female publisher of the washington post and they were going to publish the pentagon papers","meryl strep aur tom hanks hein in mein, yeh washington post ka first female publisher hein, jo pentagon papers neh publish kiya",28,22,1,wrong case marker
i'm not sure. i liked how that was when mia first heard sebastian sing and was truly moved by it. i think it was interesting way to initiate their relationship,"i'm not sure, mujhe accha laga jab mia ne pheli baar sebastian ka gana suna aur kaise woh truly moved ho gayi. i think yeh unka relationship start karne ka interesting way hai",30,33,,
that’s ok i’ve got a bunch information from we  can figure it out,"thats ok yar, muje tho iske baare mein kaafi information mila hein",13,12,,
is their any adventure like huge animals in the movie,us adventure me koi bade jaanwar hai kya movie me ?,10,11,,
ok...,acha,1,1,,
leonardo dicaprio and joseph gordon levitt are in it,leonardo dicaprio aur joseph gordon levitt hain usme,9,8,,
there is a huge divergence between proffession al critical opinion and regular movie goers,huge divergence  hai professioan critic ke opinion aur ruglar movie dekhne walo ke beech,14,14,,
"elsa eventually becomes queen, but she's terrified that people will find out about her powers and be afraid of her. they have a castle party, and the younger sister--anna--falls in love with a visiting dignitary, who proposes to her. elsa says, ""no"" and loses control of her powers in front of everyone.","elsa aakhir queen ban hi jati hai, par wo darti hai ke agar logon ko uski powers ke baare mein pata lag gaya to wo usse darenge. wo castle mein ek party dete hain, aur chhoti sister anna ek guest ke saath pyar karne lagti hai, joki usko propose karta hai. elsa use mana karti hai aur sab ke saamne uske powers lose ho jati hain.",52,66,,
jim carrey is a great actor that has had a lot of major roles in movies. what is your favorite movie with jim carrey?,jim carrey badhiya actor hai aur bahut movies me major role kiya hai. tumhari jim carrey ki favorite movie kaunsi hai,24,21,,
do the police ever figure out that kevin is home alone?,kya police kabhi figure out kar payi ki kevin home alone hai?,11,12,,
i didn't really understand why the rand employee had leaked the info in the first place. did you catch that?,: main vaastav mein samajh mein nahin aaya ki raind ke karmachaaree ne pahalee jagah mein jaanakaaree kyon leek kee thee. kya aapane use pakada? show less,20,27,,
and i am not sure these directors have done anything else noteworthy?,haan mein bhi sure nahi is directors se,12,8,,
me either,muje bhi,2,2,,
what about la la land? have you seen that?,la la laind ke baare mein kya? kya aapako lagata hai ki dekha hai?,9,14,,
"sounds a bit like beautiful mind that was a great movie, too!","sundar dimaag kee tarah lagata hai ki ek mahaan philm thee, bhee!",12,12,1,named entities translated
what movie are we talking about?,aap log kis movie ki bat kar rahe hai?,6,9,,
"yes, it took place on 1987.","ha,wo ninteen eighteen seven me hua tha",6,7,,
i've seen that at least,mein atleast dekha hoon,5,4,,
"hi, i think you should watch lala land. it sounds like it is an amazing movie","haay, mujhe lagata hai ki aapako laala laind dekhana chaahie. aisa lagata hai ki yah ek adbhut philm hai",16,19,,
"there were other social networks before the facebook, too, which is what zuckerberg called it while expanding the site to yale, columbia, and stanford. i liked napster, too, and had a myspace account.  but that all changed after parker suggested they drop 'the' and move facebook to palo alto. ","facebook ke pehle bhi other social networks the, jo ki zuckerberg ne kaha tha jab wo site ko yale, columbia aur stanford me expand kar rahe the. mujhe nepster bhi pasand hai, aur mera myspace ka account bhi hai. but ye sab badal gaya jab parker ne suggest kiya facebook to palo alto.",49,53,,
yes he does such a great job!! the #d work is truly magical,ha voh bahut hi great perform karta he!! 3d work to really magical he,13,14,,
"hehe, i see it of course ends with an article being read, written by churchill. ","hehe, main dekhata hoon ki yah churchlil dvaara likha gaya ek lekh padha ja raha hai.",15,16,,
turing's story is pretty sad. he got bullied a lot at boarding school. seems to have affected him a lot. too bad he wasn't able to find love. maybe he should have gone for somebody besides kiera knightley!,turing ki story bahut sad hai. usko boarding school main bahut bully kia gaya.lagta hai woh bahut affect hua. too bad use love nahin mila. maybe use kiera knightley ke alava kisi aur ko jaana chahiye tha!,38,37,,
i think he learned about true happiness and how much people need prayers and responses by god. i think that he now understands that importance of not complaining.,"muje lagtha hein ki, voh true happiness kya  hota aur kaise peoples prayer karthe aur god kaise respond karteh.. ab usses sab understand hoga ..",28,25,1,
"as a child, bruce wayne falls down into a dry well and is attacked by a swarm of bats, subsequently developing a phobia of the creatures. while watching an opera with his parents, thomas and martha, bruce becomes frightened by performers masquerading as bats and asks to leave. outside, mugger joe chill murders bruce's parents in front of him. orphaned, bruce is raised by the family butler, alfred pennyworth.","bruce wayne jo bacha tha aur dry well mein gir gaya aur usse swarm of bats ne attack kar deya, lekin phobia ka creatures kuch subsequently develop ho raha tha.. yeh sab opera aur uska parents dekh rahe they, bruce tho dar gaya us bats ka performance dekhkar, aur use vaha hi chod diya.. bahar, mugger joe chill ne bruce parents ko murder kiya.. bruce ab orphaned ho gaya",69,69,1,
i did know frank  had it in him to teach.,"i did know, frank wanha use teach karne ke liye tha",10,11,1,
"true. looking at the key scenes, i feel like the plot might have been a little paint-by-numbers and relying on jim carrey's personality too much, which is probably why it wasn't better recieved.","sahi. key scenes ko dekhte hai, to mujhe lagta hai ki plot thoda paint-by-numbers aur jim carrey ki personality pe bahut zyada nirbhar hai, shayad issi wajah hai ki better nhi mila.",33,32,,
final scene to discuss:  the mother admits what she's done and gives her daughter the letters,final scene discuss karne ke liye : mother admit karti hau ki usne kya kiya aur daughter ko letter deti hai,16,21,,
why do you think he joins his children in the garden?,"tumhare kya vichar he, voh garden me apne children ko join karta he?",11,13,,
i think i called it during the movie and said something to my fiance about how redheads are always portrayed as badguys.,mene socha mene use movie ke dauran bulaya and finance ke bare me kuch kaha kaise redheads are always portrayes as badguys,22,22,1,
"the cast is macaulay culkin, joe pesci, daniel stern, john heard, and roberts blossom.","is cast tho macaulay culkin , joe pesci, daniel stern, john heard aur roberts blossom he",14,16,,
it probably takes a lot to direct a movie like this,probably kuch samay lagega is tarah ka movies ko direct karna,11,11,1,"""takes a lot "" -> bahut samay laga"
probably it is those expert reviews cause the last one it gives an a,"probably, expert reviews tho a diya",14,6,,
"i don't know, it feels like bridge of spies kind of vibe.","mujhe nahi maloom, mujhe lagta hai ki yeh bridge of spies ki trah hai",12,14,,
"no problem.  yes, some of it's best scenes are just suspense where you don't even see the shark.","koee dikkat nahin hai. haan, isake kuchh behatareen drshy sirph saspens ke hain, jahaan aap shaark ko dekh bhee nahin sakate.",18,21,,
oh and the baby is sleeping beauty? that sounds interesting.,oh aur bachi sleeping beauty hai? yeh bahut interesting sunai deta hai.,10,12,,
hello,hello,1,1,,
did you know sean parker was the founder of napster?,kya tum jante ho sean parker napster ka founder tha,10,10,,
oh yea this one definetly has both and then the story to with jennifer annistons character as well,acha yeh ik pakke roop me donno aur phir jennifer annistons ke character ke sath hi kahani hai,18,18,,
nope he is indebted and that's it,"nahi, voh indebted hey",7,4,,
dang! crazy that batman has superman beat! isn't batman just a millionaire with a lot of fancy gadgets? superman at least has real super powers. you would think that would give him a one-up. did batman have kryptonite  or something?,dang! crazy batman superman ko hara deta hai. kya wo bas ek millionaire nahi juske pas bhut fancy gadget hai. superman k paas at least real super powers hai. koi bhi sochega k wo superman jeetega. kya batman k paas kryptonite ya kuch tha?,40,44,,
"yes there was but i think it was so well liked because of all the characters, it was relatable.","yes woh tha but mughe lagta hai ki woh uske characters ki wajah se bohot pasand ki gayi, uska relate kar sakte the.",19,23,,
it's one of those movies that you can rewatch over and over and not get tired of it.,ye un movies me se he jo app over and over watch karene ke bawajood bhi na tired ho.,18,19,,
gives another rating of 56% (metric score) ???,metric score neh tho 56% diya,8,6,1,
"yes! it got a rotten tomato score of 81%, and most reviews praise how smart the humor is. it's good for the whole family.","yes! ise rotten tomatoes ke 81% mile, aur most revies ne prashansa ki kitna smart humor he.ye whole family ke dekhne layak he.",24,23,,
for a moment i thought that this a robot,ek pal ke liye mujhe laga ki yeh ek robot hai.,9,11,,
yea,haan,1,1,,
i have netflix i will check there,mere pass netflix hai mai waha check karta hu.,7,9,,
oh that is interesting! morgan freeman is another great actor. his voice can be used in many settings and roles.,oh yeh to intresting hai! morgan freeman bhi ek or achha actor hai. uski awaaz bahut si settings and roles mein use ki jaa skti hai.,20,26,,
yess!! thats what i was thinking,yess!! me bhi yahi soch raha tha.,6,7,,
"yeah, the movie didn't show nick developing enough for him to be trusted with that kind of authority. plus i am guessing that his criminal background wouldn't go well.","haan, is movie mein toh nick neh uska trust aur authority nahi develop ki. aur muje guess hein ki voh criminal background mein jarur nahi aayega",29,26,1,
hmm i think i'll have to check it out. so i can at least say that i've seen it then ! :),hmm mujhe lagta hai ki mujhe check karna hoga.so main kah sakta hoon ki maine dekha hai ! :),22,19,,
do you remember who directed it?,tumko yah yaad hai ki kisne isko direct kiya tha?,6,10,,
"i'm not sure if i agree with the metacritic score of 70/100, though.","mein itna sure nahi hein, metacritic score 70/100 diya",13,9,,
i think the ratings are good. rotten tomatoes gave it an 89% and cinemascore gave it an a+,"mujhe lagta hai ratings acchi hain. rotten tomatoes ne 89% diya hai, aur cinemascore ne a+ diya hai.",18,18,,
u can earn if u exit,agar tum nikal jaoge to kma skte ho,6,8,,
"yes, i think it did, it was a great movie.  what do you think of robert downey jr in that role?","haan, mujhe yahi lagta hai, bahut badhiya movie thi. tum us role me robert downey jr. ke bare me kya sochte ho?",21,22,,
"cool, so we're on the same document.  you know it's got a score of 96% on rotten tomatos.  it's pretty darn good.","cool, to hai ek hi document pe hai. tumhe pta hai kya ki isse 96% mile hai rotten tomatoes pe. yehn bahut achha hai.",22,24,,
but i dont my 2 year old would stand still,lekin main nhi mera 2 year old sidha khada reh sakta hai,10,12,,
"i know, right? at that point, i felt sorry for kate as well. then on top of that, you can only land a flight to scranton and while there, all flights to chicago were booked. talk about stressful!","mujhe pata hai, right? us point par mujhe kate ke liye sorry feel huya. aur uske top par, tum sirf scranton ki flight land kar sakte ho aur jab tum wahan ho, chicago ki sari flights book thi. kitna stressful hai!",38,41,,
"there is a fun facebook page too, dudeism, check it out!","ek majedaar phesabuk pej bhee hai, yaar, yah jaanch!",11,9,1,
overall he ended up fine. has a family and everything,"kulmilakar ant acha tha,uske pas parivar aur sabkuch tha",10,9,1,ant?
it seems like i will have to rewatch it in the end.,muje lagtha hein ki mein dubara iska end watch karunga,12,10,,
"i didn't like the scene where mia left him at the end though, it was sad ","mene voh scene pasand nahi kiya jisme mia end me use cchor deti he,yadhyapi ye sad tha",16,17,,
"great! i haven't actually seen that yet, but have been really wanting to. which actors play batman and superman?","great, maine abhi tak wo dekhi nahi hai, but sahi me dekhna chahta hu. batman aur superman kaun actors bane hai?",19,21,,
you should try to discuss the new paragraph when the document has changed. you will have 3 turns of conversation with your partner on each of the documents. you will be given 4 documents each containing a short paragraph. the new paragraph might show just beneath the previous document. the next document will be loaded automatically after you finish 3 turns discussing the current document. you cannot use information you personally know that is not included there. you can use any information given in the document in the conversation.,"muje lagtha hein ki, aap new paragraph ke baare mein discuss karna chahiye. aap ke paas 3 turns ka conversation hein jo aap apne partner ke saath discuss kar sakthe. aapko 4 documents deye jaayega, aur sabhi mein short paragraph hoga. nahi paragraph mein pehele document bhi ho saktha hein. agli document apne aap se load hoga jab 3 document khatam hoga. lekin us information ko aap use nahi kar sakthe. aur document ka conversation ko kuch info use bhi nahi hota.",89,82,,
yeah..when you watch this movie??,yeah ... tumne kab dekhi ye movie??,5,7,,
"it would certainly be tempting! how odd would it be to know you are in a dream yet you are getting older, living a whole life? waking up, you'd be much younger then in the dream. do you think that would make it more difficult to believe that it is the actual reality?","bohot tempting hoga wo. tumhe kaisa lagega yeh jaan k ki bhale hi tum ek dream me ho par phir bhi tum age kar rahe aur ek life ji rahe? jab jagoge toh tum bohot young hoge dream me. tumhe lagta hai yeh yakeen karna mushkil hoga, actual reality?",53,49,,
i wonder if my 4 year old would enjoy it? maybe he's too young?,mei bahut wonder hu yadi mere 4year old isko enjoy karta hai? may be vo bahut young hai?,14,18,,
"yeah, bullock was great.  although, she's a great actor so i think she does well in most of her roles","hann, bullock great thi.  waise bhi, woh great actor hai and zyadatar roles mein achcha hi karti hai.",20,18,,
"batman intercepts a drug shipment, provides rachel with evidence against falcone, and enlists sergeant james gordon, one of the few honest cops left in gotham, to arrest him. in prison, falcone meets with dr. jonathan crane, a corrupt psychiatrist whom he has helped smuggle drugs into gotham, and threatens to reveal his complicity if he does not declare  him mentally unfit for trial. crane puts on a scarecrow mask and sprays falcone with a fear- inducing hallucinogen that drives him insane (which causes falcone to constantly mouth the  word ""scarecrow""), and has him transferred to arkham asylum. while investigating ""the scarecrow"", batman is exposed to the hallucinogen and left incapacitated. he is saved by alfred and given an antidote developed by fox. when rachel accuses crane of corruption, crane reveals that he has been pouring his fear-inducing drug into gotham's water supply. he drugs rachel with it, but batman saves her and subdues crane, who claims to work for ra's al ghul. batman evades the police to get rachel to safety, administers the antidote, and gives her a vial of it for gordon and another for mass production. ducard reappears at bruce's birthday party and reveals himself to be the true ra's al ghul. having stolen a powerful microwave emitter from wayne enterprises, he plans to vaporize gotham's water supply, rendering crane's drug airborne and causing mass hysteria that will destroy the city. he sets wayne manor aflame and leaves bruce to die, but alfred rescues him.","batmain ek druag shipment ko accept karata hai, rachel ko falcone ke against saboot provide karaata hai, aur sergeant james gordon ko gotham mein chhode gye kuchh imandaar police mein se ek ko arrest karane ke lie prerit karata hai. jail mein, falcone ek corrupt psychiatris dr. jonathan crane ke saath milata hai, jise usane gotham mein drugs ke taskai karane mein help ki hai, aur use maanasik roop se pareekshan ke liye. crane ek scarecrow mask daalata hai aur ek bhay ke saath falcone pe spray karta hai- use prerit karane vaale matibhram ko prerit karata hai (jisase falcone shabd "" scarecrow "" ko lagaataar munh mein le jaata hai), aur use arkham asylum mein transfer kara dita hai. "" the scarecrow "" ki jaanch karate samay, batman ko hallucinogen ke sampark mein laaya jaata hai aur chhod diya jaata hai. use alfred dvaara bachaaya gaya hai aur fox dvaara vikasit ek antidote diya gaya hai. jab rachel ne crane par corruption ka aarop lagaaya, to crane ne khulaasa kiya ki voh apane fear-inducing drug ko gotham ke pani mein daal deta hai. veh iske saath rachel ko drugs deta hai, lekin batman use bachaata hai aur crane ko vash mein karta hai, jo ra's al ghul ke lie kaam karne ka daava karata hai. batman police ko rachel ko suraksha ke lie vikasit karata hai, antidote ka prashaasan karata hai, aur use gordo ke lie ek bottle deta hai aur doosare ko bade paimaane par utpaadan ke lie. ducard bruce ke janmadin ke party mein phir se prakat hota hai aur khud ko asalee ra's al ghul. hone ka khulaasa karta hai. wayne enterprises se ek shaktishali microwave emitter chori hone ke baad, usne gotham ke pani ke supply ko vaashpit karane ki yojana banaee, crane ke drug ko hava dene aur bade paimaane par hysteria paida karne ke kaaran jo shahar ko nasht kar dega. vah wayne manor ka naam taye karta hai aur bruce ko marne ke lie chhod deta hai, lekin alfred use bacha leta hai",247,341,,
"hmm, you might have to convince me a little more about jaws just because i already know the ending. since you said la la land is a romantic comedy, is there any romance in jaws?","hamm, tum mujhe jabade ke baare mein thoda aur samajhaane ke lie ho sakata hai kyonki main pahale se hee ant jaanata hoon. jab se aapane kaha tha ki la la laind ek romaantik komedee hai, kya joz mein koee romaans hai?",35,42,1,Jaws - > jabde
"yeah, so much attention and popularity has kept it alive in stores as toys, shows and other items.","haan yar, jyada attention aur populatity us stores ke toys, shows aur jyada items mein ab tak jinda rakh rahe hein",18,21,,
"they basically are stuck there until someone can wake them up in the real world. so in the movie, even though it was only a few hours of real time, two of the characters spent fifty years in the ""limbo"" world, where they had to construct it based on their shared memories.","woh fass jaathe hai, jab tak unhe koi nai jaga tha aur duniya me le aatha.is movie me bale asli duniya kuch ghante ke liye hai ,par do character pachas saal ""limbo"" duniya me tha, gayee yaadon par banan pada.",52,40,,
"honestly it seems dumb, orobably why i did not see it","honestly wo dumb jesa he,orobaly kyu me dekh nahi saka",11,10,,
"i was just thinking he pretty smart though, coming up with stuff being 15.","main soch ra tha wo waise kaafi smart hai, 15 saal ka hone bawjood itna sab banata hai",14,18,,
"i agree as well. given that catch me if you can was released in 2002, i doubt he'll earn an oscar for that. any time that i see that a movie will be starring him or even that he'll be in, i'm always interested in watching it.","mein bhi maantha hoon.. jab 2002 mein catch me if you can released huva tha tho, sabhi oscar ke liye intzar kar rahe the... tho sabhi is movie ko dekhne ke liye bahut bechan ho rahe they",47,37,1,
i really liked matthew mcconaughey in his little part too,"muje matthew mcconaughey pasand hein,",10,5,,
nope,nahin,1,1,,
i'm trying to figure out who otterton and manchas are from the new paragraph that flashed up,mai figure out karne ki koshish kar raha ahi ki otterton aur manchas kya new paragraph se flash up hue hai,17,21,1,"""from new para that flashed up "" - > "" kya naye paragraph se flash up hue hai"""
well then i guess we won't be seeing it in 3-d lol.,well mujhe lagta ki hum ise 3-d mein nahin dekh payenge lol.,12,12,,
that is true! ha! pesci and stern did a great job acting the part as adults who weren't very bright! john hughes wrote the movie perfectly!,yeh tho sach hein! ha! pesci aur stern tho acting ka badiya job kiya voh tho adults ka part bhi kiya jo itna bhi bright nahi tha! john hughes ne is movie ko perfectly write kiya hein,26,37,,
"also stars olga fonda, is she related to jane fonda/henry fonda?","olga fonda se start hota, kya voh jane fonda/henry fonda se related hein?",11,13,1,"""also start olga""-> olga fonda se start hota"
i'm glad allie ends up with noah,mujhe khushee hai ki allie noah ke saath samaapt hota hai,7,11,1,endsup with  - > samapth hoti hai
"how the things come to the end, meaning a happy end right?",things kab end hogi  means happy or right ?,12,9,1,
"im not too sure, but i bet they do. they probably only use it for good though since it is an animated movie aimed towards kids","mujhe yakeen nahin hai, lekin mujhe yakeen hai ki ve karate hain. ve shaayad keval achchhe ke lie isaka upayog karate hain, kyonki yah ek enimeted philm hai jisaka uddeshy bachchon kee or hai",26,34,,
i believe so it is in the last scene.,i believe so ye last scene me ha na,9,9,,
i think i have found my movie for tonight!,mujhe lagata hai ki mujhe aaj raat ke lie apanee philm mil gaee hai!,9,14,,
"no doubt, the film has lots of sordid details about the founding and the callous attitude zuckerberg had towards his collaborators. but the end, when he's sending a friend request, is when it get's really weird. ","no doubt, film mein tho kahi sordid details hein us founding aur callous ka attitude ke baare mein, zuckerberg tho us collaborators ke sa saath hein.. lekin end mein, jab usne usko friend ko request diya tho thoda weird feel huva",36,41,1,frist part is jibberish
"yeah, it is so cool because i felt as though that the movie had a balance of drama and fantasy.","yah bahut acha hai ,muje lagta hai ki moive drama aur fantasy ka balance hai",20,15,,
disney has been doing well with their live action movies on classic disney movies. and yes i do believe you'll like it if you like dark fantasy. it gives a new take on maleficent.,disney classic disney movies  par apanee live action movies ke saath achchha kar raha hai. aur haan mujhe vishvaas hai ki agar aapako dark fantasy pasand hai to aap ise pasand karenge. yah  purushaarth par ek naya prabhaav deta hai.,34,40,,
so its like walk in someone else's shoes to see what they have to deal with.,tho yeh aise kuch hein ki dusron ka shoe mein ghuskar uska problem kya hein karke deal kartha.,16,18,1,
he did. what's crazy is he auditioned and got the part and nolan didn't know he was a famous singer.,he did. jo crazy he uska audition liya gaya aur got the part aur nolan ke knowledge me nahi tha ki voh ek famous singer he.,20,26,,
"me too! i like that common thread between the two movies. i think it was executed better in this though, because they really did start from the very bottom of monsters, inch","muje bhi! muje unka common thread us movies ke between pasand hein... kuch better execute kiye hein, kyon ki voh monsters ka bottom se shuru huva",32,26,1,
sounds great.,great sound karti he.,2,4,,
"yes. i really appreciated how much thought went into the movie's title. i think it's really cool how it refers to los angeles, music, and having your head in the clouds all at once. it's really spectacular how they summed up so many elements of the movie in such a short title","han, mein sach mein iss baat ki kadra karta hu ki iss film k title mein kitni soch lagayi hai. mein sochta hu ki ye bohat cool hai ki ye film los angeles, snageet, aur apne sir badalon mein hone ka jikra ek sath karti hai.  yah bohat shandar hai ki unhone itne sare tatvon ko ek sath shamil kar lia film k itne chhote title mein.",52,67,,
all but ben affleck. lest super hero movie i saw him in was daredevil and that was rough. let's hope he's better in this.,sabhi lekin ben affleck ki last super hero movie main usse daredevils mai dekh tha wo mote tha hoskta hai isme kuch acha kam hoga,24,25,1,rough - > mota
yes have you ever seen a batman movie,achha... aap kabhi batman ka movie pehle kabhi dekha hai?,8,10,,
nice that's sound interested. can you tell me a little bit about it?,nice ye to interesting sound karta he.kya tum mujhe iske about little bit bata sakte ho?,13,16,,
that sounds interesting,interesting sound karta hai,3,4,,
well the relationships of the characters are quite complex because clark kent a.k.a. superman learns of batman's justice methods and tries to expose him. all this happening while lex luthor makes moves to get approval to obtain kryptonite from a senator.,khair characters ke relationships kafi complex hai kyunki  clark kent a.k.a. superman batman ke justice krne ke tarike sikh gya hai or use expose krne ki koshish krta hai. ye sab tab hota hai jan lex luthor ek senator se kryptonite lene ka approval lene ke liye chaalein chalta hai.,41,50,,
hello so the movie we will be talking about is batman v. superman,hello to hum aaj jis movie k baare me baat karege wo hai batman v superman,13,16,,
"the next scene is when britain declares war on germany, turing goes to work at a place called bletchley park that is trying to decode the nazi's enigma machine.  yes, it's a historical drama.","agala drshy hai jab briten ne jarmanee par yuddh kee ghoshana kee, tyooring ek jagah par kaam karane jaata hai jise bailechale paark kaha jaata hai vah naajee kee pahelee masheen ko dikod karane kee koshish kar raha hai. haan, yah ek aitihaasik naatak hai.",34,45,,
"hey, there's this movie called bruce almighty with jim carrey in it, have you seen it or would you like to?","hey, ek movie hai bruce almighty jisme jim carrey hai,kya tumne dekhli ya dekhna chahoge?",21,15,,
"the next to last bullet point is funny, ""though the premise of fighting robots does seem a plausible and intriguing extension of the contemporary wwe world. reminds of robots vs wrestlers in how i met your mother  episdoes ","last bullet se agla bahut funny hai, ""maana ki fighting robots ki premise plausible lagti hai aur intriguing extension ek contemporary wwe world ki. yaad dila ta hai how i met your mother waali robots vs wrestlers ki",38,38,,
"sounds like an interesting fellow, will definetly give it a watch.","lagtha hein interest se rahega, jarur mein watch karunga",11,9,,
you heard of arkham asylum? it is a criminal asylum for the insane,kya aap arkham asylum ke baare mein suna hein? voh asylum ka criminal hein jo insane nahi hein,13,18,1,
"anna goes to find elsa and meets some new friends along  the way. when they find and confront elsa, she accidentally injures anna again.","anna elsa ko khojne gai aur naye friends raste mein mil gaye.jab elsa se mili, by accident anna ko injure kar diya.",24,22,,
it is still rude,yeh abhi bhi rude hai.,4,5,,
nope. i am a sucker for movies with animated animals though so i will definitely have to check this out.,nahi. muje toh animated animal movies koh pasand hein toh mein jarur usse check karunga,20,15,,
certainly seems unique. do you know if it is based off a book or a previous work?,nischit hi ye unique hai. kya tum jaante ho if ki ye book par based hai ya ki previous work pe?,17,21,,
"you can see just about everyone does anything, hiding, figuring ways to get out","tum dekh sakte ho har koi kuch bhi karra hai, chup raha hai, soch raha hai bahar nikalne k tareeke",14,20,,
"it's a fairy tale, based on hans christian andersen's ""the snow queen."" the main characters have to find a way to release the world from the icy grip of winter.","ye fairy tale hai, hans christian andersen ki ""the snow queen."" par based hai. main character duniya ko winter ke kabze se nikalne ke liye rasta khojna  hota hai.",30,29,,
"yes, at the end of the movie, the allies win the war and the boss makes the cryptographers promise to never see each other again and they destroy all the code.  also, turing tells clarke (knightley) to leave because he is scared for her safety.  he tells her he is gay and that he never cared for her, which wasn't true because he was in love with her.","haan, philm ke ant mein, mitr raashtr yuddh jeetata hai aur bos kriptograaphars ko ek doosare ko phir kabhee nahin dekhane ka vaada karata hai aur ve sabhee kod ko nasht kar dete hain. isake alaava, tyooring klaark (naitalee) ko chhodane ke lie kahata hai kyonki vah usakee suraksha ke lie darata hai. vah usase kahata hai ki vah samalaingik hai aur usane kabhee usakee paravaah nahin kee, jo sach nahin tha kyonki vah usake saath pyaar mein thee.",68,79,,
no i haven't. what's it about?,nahi meme nahi kia. ye kis bare mei hai?,6,9,,
"yeah, i totally thought this would be the one","han, mujhe totally laga ye wo hogi",9,7,,
"by hearing thecast, it looks ","jese hi thecast suna , usne dekha",5,7,1,
i think we are allowed to end our convo now?,mujhe lagta hai ham convo ko end karne ke liye allowed hain,10,12,,
"its truly amazing, you should watch it","yeh bahut amazing hai, tumhe dekhna chahiye",7,7,,
he decrypted german intelligence codes for the british government during wwii.,voh german intelligence ke liye decrypted karthe hein aur voh british government ke liye kaam karthe hein wwll,11,18,1,"""ke liye decrypt"":"
oh wow 98% is good,oh wow 98% accha hai,5,5,,
he seems to have otherworldy power after surviving his past experiences,lagta hai past experience survive karne ke baad usme otherworldy power they,11,12,,
"yes, she is definitely strong.","haan, voh definitely strong hein",5,5,,
the film starts in 2003 when zuckerberg was a 19 year old student at harvard. he actually created a campus website called facemash that allowed users to rate the attractiveness of photos of female students.,film shuru hoti hai 2003 mein jub zuckerberg  19 saal ka student  tha harvard mein. usne asal facemash naam ki campus website banayi jisme users female students ke photos ke attractiveness  ko rate kar sakte thay,35,36,,
do you know who wrote and directed 'the avengers?',the avengers?' kisne likhi aur direct ki hai aap jante hain kya ?,9,13,,
who was your favorite character?,is me aapka favorite character kon hein?,5,7,,
that's not too bad.,itna bhi bura nahi hey,4,5,,
"yes and no. i find that the animated films are quite nostalgic, but the live-action films like maleficent in which you see the darkness behind the films cater better to me nowawdays.","han ye nhi. mujhe lagta hai ki animated movies bahut nostalgic hoti hai, lekin live-action movies jaise maleficent jis mein tum film ke peechhe andhera dekh skte ho ajakl zyada behtar hai mere.",32,33,,
true. metacritic gave them 73/100. turing was a mathematician who was a cryptanalyst for the british during wwii against the germans. he is famous for breaking the enigma code.,"sach hein yar, metacritic ne 73/100 diya tha. turing toh mathematician hein jo british ke liye cryptanalyst  bane the tab wwii saari germans ke against the. aur voh enigma code ko break karne mein famous hein.",29,36,1,saari germans ke against the
